Account: Account Region,Account: Account SubRegion,Account: SE Owner,Account: Account Name,Product,License Activation,% Adoption,Product Adoption: Product Adoption Name,Product Stage,Days in Product Stage,Product Sub-Stage,Notes,Services Attached
Americas North Enterprise & Canada,Canada Enterprise/Comm West,Brian Parks,WhiteCap Resources,AOS,50% or less,0,PA-002892,10 - Implementation,255,Unscheduled,,
Americas North Enterprise & Canada,Canada Enterprise/Comm West,Brian Parks,WhiteCap Resources,Files,50% or less,0,PA-014976,12 - Effective Adoption,1010,In Process,,
Americas North Enterprise & Canada,Canada Enterprise/Comm West,Brian Parks,WhiteCap Resources,Prism,50% or less,0,PA-022968,12 - Effective Adoption,601,In Process,,
Americas North Enterprise & Canada,Canada Enterprise/Comm West,Brian Parks,WhiteCap Resources,UNIFIED STORAGE,Greater than 80%,100,PA-037180,12 - Effective Adoption,597,In Process,,
Americas North Enterprise & Canada,Canada Enterprise/Comm West,Brian Parks,WhiteCap Resources,NCI,50% or less,33,PA-047137,12 - Effective Adoption,542,In Progress,,
Americas North Enterprise & Canada,Canada Enterprise/Comm West,Brian Parks,WhiteCap Resources,NCM,50% to 80%,61,PA-047138,12 - Effective Adoption,542,In Process,,
Americas North Enterprise & Canada,Canada Enterprise/Comm West,Brian Parks,WhiteCap Resources,EUC,Greater than 80%,100,PA-049612,12 - Effective Adoption,520,In Process,,
Americas North Enterprise & Canada,Canada Enterprise/Comm West,Brian Parks,WhiteCap Resources,NC2-AWS,50% or less,0,PA-050554,10 - Implementation,545,Unscheduled,,
Americas North Enterprise & Canada,Canada Enterprise/Comm West,Brian Parks,WhiteCap Resources,NCI Edge,50% or less,0,PA-059495,10 - Implementation,230,Unscheduled,,
